cust,ma_fem_dv,ages,zon_hlv
M009109982,여성,60대,Z17
M009120822,여성,50대,Z11
M009183049,여성,60대,Z04
M009206232,여성,20대,Z04
M009233630,남성,50대,Z07
M009278577,남성,30대,Z12
M009298760,여성,40대,Z10
M009326002,여성,40대,Z10
M009331919,여성,40대,Z01
M009390126,여성,50대,Z10
M009406532,여성,50대,Z08
M009432696,남성,40대,Z04
M009432951,남성,50대,Z11
M009475811,여성,30대,Z17
M009491102,남성,40대,Z17
M009491860,여성,20대,Z17
M009541134,남성,30대,Z10
M009664307,여성,40대,Z10
M009682567,여성,40대,Z17
M009723110,남성,40대,Z13
M009729859,여성,50대,Z17
M009731870,여성,70대,Z17
M009742223,남성,50대,Z17
M009754131,여성,40대,Z04
M009847637,여성,40대,Z17
M009962161,남성,40대,Z12
M009979598,여성,30대,Z10
M009983001,남성,60대,Z10
M010031285,여성,30대,Z16
M010034420,여성,50대,Z15
M010037014,남성,20대,Z16
M010043769,여성,50대,Z10
M010049359,남성,40대,Z10
M010053498,여성,30대,Z10
M010063401,여성,50대,Z05
M010068705,남성,30대,Z14
M010080814,여성,60대,Z16
M010089323,남성,50대,Z17
M010141777,여성,30대,Z04
M010224238,남성,50대,Z08
M010259055,여성,40대,Z04
M010288392,여성,70대,Z10
M010327569,여성,40대,Z10
M010337779,여성,20대,Z03
M010353493,여성,40대,Z05
M010379936,여성,40대,Z11
M010423314,여성,50대,Z04
M010430064,남성,30대,Z14
M010578364,여성,50대,Z17
M010595795,남성,40대,Z09
M010597817,여성,50대,Z04
M010618874,여성,30대,Z10
M010674880,남성,50대,Z10
M010685450,남성,20대,Z17
M010722296,남성,30대,Z17
M010760292,여성,30대,Z10
M010805061,여성,30대,Z12
M010913491,남성,50대,Z10
M010965707,여성,30대,Z10
M010967394,여성,50대,Z11
M010994337,남성,40대,Z05
M011057762,남성,50대,Z02
M011062562,남성,50대,Z16
M011166824,여성,70대,Z17
M011187683,여성,40대,Z17
M011200568,남성,40대,Z12
M011212887,남성,20대,Z10
M011220106,여성,30대,Z04
M011262591,여성,40대,Z10
M011283774,여성,30대,Z10
M011329470,여성,20대,Z17
M011436425,여성,40대,Z17
M011493552,여성,20대,Z17
M011495510,남성,60대,Z03
M011501123,여성,30대,Z16
M011501995,여성,40대,Z07
M011527521,여성,30대,Z05
M011543777,여성,50대,Z17
M011663757,남성,50대,Z17
M011685716,여성,20대,Z17
M011690584,남성,40대,Z01
M011706752,여성,30대,Z12
M011808737,여성,50대,Z17
M011829462,여성,40대,Z08
M011908877,남성,50대,Z10
M011946286,여성,50대,Z17
M011970152,여성,50대,Z17
M012027846,여성,50대,Z11
M012046118,남성,30대,Z12
M012085309,여성,40대,Z05
M012096174,남성,50대,Z17
M012121265,남성,70대,Z10
M012197943,여성,40대,Z10
M012216253,여성,40대,Z17
M012229902,남성,40대,Z17
M012263812,여성,20대,Z17
M012265036,남성,40대,Z16
M012312404,남성,30대,Z16
M012342829,남성,50대,Z08
M012346404,여성,30대,Z04
M012350286,남성,30대,Z10
M012391977,여성,50대,Z13
M012438441,여성,60대,Z04
M012576040,여성,20대,Z10
M012619532,여성,50대,Z11
M012620244,여성,30대,Z15
M012642797,여성,30대,Z10
M012673791,여성,40대,Z16
M012732690,남성,40대,Z17
M012758819,남성,30대,Z10
M012767779,여성,40대,Z17
M012778138,남성,30대,Z17
M012800908,여성,40대,Z12
M012833776,남성,30대,Z10
M012846338,여성,40대,Z11
M012857373,여성,60대,Z10
M012936022,여성,30대,Z17
M012955173,여성,40대,Z04
M013069595,남성,40대,Z17
M013090322,여성,50대,Z17
M013124981,여성,20대,Z10
M013178107,남성,40대,Z10
M013218691,여성,30대,Z11
M013256049,여성,40대,Z10
M013276696,여성,50대,Z10
M013285074,여성,20대,Z09
M013366941,여성,50대,Z06
M013398724,남성,20대,Z17
M013414665,여성,30대,Z10
M013587825,남성,40대,Z10
M013639641,남성,40대,Z11
M013664739,여성,30대,Z04
M013684099,여성,40대,Z13
M013700307,여성,40대,Z10
M013769296,여성,20대,Z17
M013796485,여성,50대,Z17
M013839762,남성,30대,Z17
M013849448,여성,40대,Z08
M013922952,여성,30대,Z11
M013938777,여성,40대,Z10
M013962648,여성,30대,Z08
M013993404,남성,20대,Z10
M014008347,여성,40대,Z17
M014035745,여성,40대,Z10
M014070401,남성,30대,Z10
M014075207,여성,50대,Z17
M014090492,남성,60대,Z02
M014154595,여성,30대,Z12
M014182354,남성,20대,Z10
M014275222,여성,40대,Z17
M014292351,여성,20대,Z17
M014293224,남성,30대,Z15
M014321937,여성,60대,Z10
M014339861,여성,40대,Z17
M014340605,남성,40대,Z10
M014382968,여성,30대,Z16
M014383657,남성,60대,Z17
M014386417,여성,70대,Z16
M014405668,여성,20대,Z11
M014429367,남성,20대,Z17
M014467656,남성,50대,Z03
M014498295,여성,50대,Z08
M014565673,여성,20대,Z10
M014583713,남성,30대,Z10
M014591324,여성,50대,Z14
M014601678,여성,30대,Z10
M014747239,여성,40대,Z10
M014747434,여성,30대,Z10
M014792007,여성,30대,Z13
M014826415,남성,30대,Z17
M014836999,여성,30대,Z04
M014888741,남성,20대,Z04
M014905326,남성,40대,Z15
M014906758,여성,60대,Z04
M014972107,여성,50대,Z17
M015013029,여성,30대,Z17
M015042346,여성,50대,Z16
M015046115,남성,40대,Z13
M015048162,남성,60대,Z10
M015093664,여성,40대,Z17
M015178683,여성,40대,Z11
M015213177,남성,30대,Z10
M015257959,여성,30대,Z17
M015281716,여성,50대,Z13
M015325650,여성,30대,Z10
M015329772,여성,60대,Z16
M015353566,여성,30대,Z05
M015393009,여성,40대,Z17
M015430351,여성,50대,Z17
M015471763,여성,40대,Z16
M015481747,여성,30대,Z11
M015491572,남성,30대,Z10
M015518376,여성,50대,Z17
M015539270,여성,40대,Z16
M015550030,남성,60대,Z10
M015551355,남성,60대,Z14
M015584897,여성,40대,Z08
M015605443,여성,50대,Z17
M015614508,남성,20대,Z10
M015639704,여성,50대,Z04
M015650164,여성,60대,Z10
M015674072,여성,40대,Z10
M015674351,남성,30대,Z15
M015675093,여성,40대,Z10
M015750998,여성,40대,Z16
M015851779,여성,40대,Z17
M015853886,여성,40대,Z15
M015868074,남성,30대,Z17
M015892198,여성,40대,Z16
M015999293,남성,30대,Z12
M016004710,여성,60대,Z16
M016061527,여성,40대,Z08
M016070523,여성,40대,Z08
M016178075,여성,40대,Z04
M016223791,여성,50대,Z17
M016296091,남성,30대,Z10
M016309518,여성,30대,Z17
M016312977,남성,20대,Z04
M016327288,여성,30대,Z12
M016387478,남성,40대,Z17
M016404339,남성,30대,Z10
M016456656,여성,60대,Z10
M016516620,남성,30대,Z10
M016532707,남성,20대,Z10
M016538312,여성,30대,Z09
M016546099,여성,50대,Z15
M016570251,여성,40대,Z04
M016614801,남성,30대,Z10
M016631704,여성,40대,Z17
M016670146,여성,40대,Z06
M016695423,여성,40대,Z15
M016698917,여성,40대,Z08
M016707093,여성,30대,Z17
M016713031,여성,60대,Z16
M016751224,남성,50대,Z17
M016764179,여성,40대,Z10
M016803268,여성,50대,Z09
M016813663,여성,40대,Z04
M016815450,남성,20대,Z10
M016822877,여성,40대,Z17
M016827017,여성,40대,Z17
M016843749,여성,40대,Z10
M016930208,여성,20대,Z10
M016938458,여성,50대,Z17
M016999679,여성,50대,Z10
M017031701,남성,30대,Z10
M017047083,남성,20대,Z09
M017054670,여성,40대,Z02
M017162881,남성,40대,Z03
M017173158,여성,40대,Z17
M017209259,남성,40대,Z10
M017248460,여성,20대,Z11
M017256273,여성,20대,Z11
M017267996,여성,20대,Z11
M017276201,여성,60대,Z17
M017298162,남성,40대,Z01
M017367216,남성,50대,Z03
M017401296,여성,50대,Z13
M017410771,남성,30대,Z11
M017453314,여성,30대,Z17
M017524395,여성,20대,Z13
M017535243,남성,40대,Z10
M017593881,남성,60대,Z05
M017599071,여성,30대,Z10
M017628008,여성,40대,Z17
M017676375,여성,30대,Z17
M017696878,여성,40대,Z12
M017726470,여성,40대,Z17
M017824413,여성,30대,Z17
M017842861,남성,40대,Z17
M017850235,남성,40대,Z17
M017850981,여성,60대,Z05
M017866824,남성,40대,Z17
M017874504,여성,30대,Z12
M018025268,남성,30대,Z05
M018036249,여성,60대,Z17
M018068911,남성,40대,Z16
M018078477,남성,20대,Z10
M018111784,여성,20대,Z06
M018128716,여성,40대,Z12
M018155432,여성,30대,Z09
M018156864,여성,40대,Z17
M018184823,남성,30대,Z16
M018261698,여성,40대,Z11
M018268015,여성,30대,Z08
M018268736,여성,50대,Z02
M018305555,남성,30대,Z17
M018340302,여성,50대,Z04
M018342371,여성,30대,Z06
M018348504,남성,30대,Z09
M018349692,여성,20대,Z17
M018360997,여성,30대,Z10
M018442661,여성,20대,Z04
M018522655,여성,40대,Z17
M018534178,여성,40대,Z10
M018701446,남성,70대,Z17
M018707229,남성,50대,Z10
M018731304,여성,50대,Z10
M018753576,남성,50대,Z10
M018754345,여성,30대,Z06
M018766425,남성,40대,Z05
M018808846,여성,40대,Z17
M018819867,여성,20대,Z06
M018846875,남성,40대,Z17
M018901562,남성,30대,Z16
M018935019,여성,40대,Z01
M019031965,남성,70대,Z10
M019052832,남성,20대,Z08
M019126926,남성,30대,Z16
M019134553,여성,60대,Z04
M019156129,여성,50대,Z04
M019170381,여성,20대,Z13
M019185495,남성,30대,Z16
M019237374,여성,20대,Z10
M019308314,여성,60대,Z10
M019337379,여성,30대,Z10
M019386820,여성,30대,Z10
M019397226,여성,50대,Z17
M019435246,여성,60대,Z13
M019452996,남성,50대,Z09
M019502719,여성,40대,Z16
M019514257,여성,20대,Z10
M019533835,남성,60대,Z10
M019613659,남성,20대,Z17
M019641016,여성,40대,Z10
M019728616,여성,30대,Z10
M019745851,여성,30대,Z12
M019821842,남성,40대,Z10
M019822754,남성,40대,Z17
M019831429,남성,30대,Z17
M019905252,남성,50대,Z10
M019989627,여성,40대,Z16
M020007167,여성,60대,Z09
M020014641,여성,20대,Z03
M020017034,여성,40대,Z15
M020072450,남성,20대,Z01
M020104311,남성,30대,Z17
M020136767,여성,40대,Z16
M020145678,여성,40대,Z04
M020155133,여성,30대,Z17
M020188561,여성,30대,Z10
M020192002,남성,30대,Z17
M020193064,여성,20대,Z07
M020223570,여성,40대,Z06
M020243395,남성,20대,Z10
M020274058,여성,40대,Z10
M020367923,여성,20대,Z06
M020401799,여성,50대,Z10
M020441037,남성,20대,Z16
M020510636,남성,20대,Z03
M020511179,여성,50대,Z10
M020530140,남성,30대,Z17
M020535871,여성,30대,Z09
M020552991,여성,30대,Z04
M020573391,여성,30대,Z10
M020574683,여성,30대,Z11
M020639299,여성,50대,Z04
M020657632,남성,50대,Z16
M020664921,여성,40대,Z10
M020675585,여성,30대,Z17
M020700819,여성,40대,Z17
M020734806,여성,30대,Z17
M020795432,여성,40대,Z04
M020834722,여성,40대,Z17
M020835170,남성,40대,Z12
M020850597,여성,50대,Z17
M020870342,여성,40대,Z13
M020881880,여성,30대,Z14
M020900840,여성,40대,Z13
M020915056,여성,30대,Z17
M020920877,여성,20대,Z17
M020941854,여성,20대,Z17
M020969961,남성,30대,Z10
M020977961,여성,30대,Z11
M020987809,여성,30대,Z17
M021025382,여성,30대,Z11
M021109366,여성,40대,Z12
M021121027,남성,40대,Z07
M021121896,남성,30대,Z17
M021136955,남성,40대,Z17
M021189164,남성,50대,Z10
M021191866,여성,30대,Z16
M021198377,여성,40대,Z10
M021297222,여성,40대,Z11
M021317194,여성,50대,Z03
M021341630,여성,40대,Z07
M021362980,남성,40대,Z01
M021395850,여성,40대,Z17
M021396553,여성,40대,Z11
M021474932,여성,40대,Z01
M021494385,여성,20대,Z10
M021495045,여성,40대,Z14
M021507456,여성,20대,Z17
M021533416,여성,70대,Z17
M021569505,여성,40대,Z10
M021576921,여성,50대,Z10
M021577879,여성,40대,Z10
M021593104,여성,20대,Z17
M021677178,남성,40대,Z17
M021715268,여성,50대,Z10
M021735870,여성,40대,Z06
M021772399,여성,40대,Z17
M021817063,여성,50대,Z08
M021824776,여성,50대,Z05
M021847345,여성,30대,Z10
M021920032,남성,60대,Z10
M021936535,남성,50대,Z10
M021951856,남성,40대,Z06
M022068499,여성,60대,Z10
M022073107,여성,30대,Z10
M022075031,남성,60대,Z06
M022102008,여성,40대,Z03
M022108117,여성,40대,Z08
M022143999,여성,40대,Z13
M022153719,남성,50대,Z10
M022193612,남성,40대,Z17
M022201881,여성,50대,Z05
M022273469,여성,60대,Z11
M022308297,여성,40대,Z17
M022342109,여성,40대,Z10
M022366822,여성,50대,Z10
M022402686,여성,40대,Z13
M022417877,여성,70대,Z10
M022469976,여성,20대,Z17
M022498408,남성,30대,Z12
M022554382,여성,20대,Z11
M022588376,남성,20대,Z11
M022593460,여성,20대,Z03
M022594017,남성,40대,Z10
M022648018,여성,40대,Z10
M022761259,남성,40대,Z10
M022778821,여성,50대,Z11
M022819899,여성,30대,Z06
M022824889,여성,40대,Z06
M022877164,여성,40대,Z10
M022878298,남성,70대,Z10
M022900850,여성,50대,Z17
M022901426,남성,50대,Z10
M022937718,남성,40대,Z06
M022965652,남성,20대,Z15
M023047390,여성,40대,Z17
M023095066,남성,40대,Z10
M023118090,여성,40대,Z02
M023140765,남성,50대,Z13
M023151514,여성,30대,Z10
M023161374,여성,50대,Z05
M023220838,여성,40대,Z04
M023259393,남성,70대,Z10
M023302378,여성,50대,Z13
M023307270,여성,70대,Z17
M023327832,여성,30대,Z12
M023350361,여성,40대,Z14
M023391241,남성,40대,Z17
M023425268,여성,70대,Z14
M023448256,여성,40대,Z17
M023505680,여성,20대,Z04
M023524803,여성,30대,Z17
M023543251,여성,20대,Z16
M023568421,여성,50대,Z17
M023577934,여성,30대,Z17
M023605710,여성,40대,Z10
M023634056,여성,30대,Z10
M023780709,여성,60대,Z10
M023783485,남성,50대,Z17
M023794546,여성,30대,Z10
M023903382,여성,30대,Z10
M023904016,여성,30대,Z17
M024021313,여성,30대,Z10
M024043426,남성,30대,Z14
M024046993,남성,40대,Z10
M024053870,여성,50대,Z13
M024101254,여성,40대,Z11
M024115249,여성,40대,Z17
M024139053,남성,40대,Z06
M024196345,여성,30대,Z17
M024198905,여성,30대,Z16
M024226272,남성,30대,Z10
M024255025,남성,40대,Z10
M024323210,여성,40대,Z13
M024350907,여성,40대,Z01
M024360607,여성,30대,Z17
M024373763,여성,50대,Z17
M024460495,남성,30대,Z17
M024520217,남성,50대,Z07
M024539218,여성,60대,Z03
M024617970,여성,60대,Z13
M024659867,여성,30대,Z10
M024667485,여성,40대,Z13
M024680744,남성,30대,Z13
M024704619,여성,40대,Z10
M024705259,여성,50대,Z10
M024707748,남성,30대,Z17
M024729877,여성,30대,Z11
M024773016,남성,30대,Z17
M024807991,여성,70대,Z04
M024834869,여성,40대,Z13
M024892593,여성,50대,Z10
M024953107,여성,40대,Z10
M024955555,남성,40대,Z04
M024971109,남성,20대,Z17
M024975458,여성,20대,Z10
M025002452,여성,40대,Z11
M025020244,남성,50대,Z10
M025031557,여성,50대,Z04
M025054375,여성,40대,Z10
M025106048,남성,20대,Z17
M025168868,여성,40대,Z17
M025179887,여성,20대,Z10
M025187259,남성,30대,Z15
M025301986,여성,40대,Z10
M025305485,여성,70대,Z10
M025464904,여성,50대,Z16
M025467166,여성,50대,Z10
M025523533,남성,50대,Z03
M025530406,여성,60대,Z10
M025561619,여성,30대,Z17
M025633773,남성,40대,Z09
M025636972,여성,50대,Z11
M025642777,여성,20대,Z17
M025657860,여성,40대,Z10
M025688454,여성,40대,Z05
M025713424,여성,50대,Z17
M025724477,여성,40대,Z10
M025834177,남성,50대,Z11
M025850479,남성,50대,Z17
M025928303,남성,30대,Z17
M025931682,남성,40대,Z16
M025945947,여성,60대,Z10
M025977047,남성,50대,Z17
M025990278,여성,50대,Z17
M026084857,여성,40대,Z10
M026140044,여성,20대,Z17
M026148393,남성,60대,Z04
M026188014,여성,60대,Z17
M026227982,남성,50대,Z10
M026274832,남성,40대,Z13
M026355888,남성,20대,Z01
M026406376,남성,70대,Z17
M026407626,남성,70대,Z17
M026446747,여성,40대,Z11
M026451621,여성,40대,Z17
M026481073,남성,30대,Z17
M026483725,남성,30대,Z17
M026489542,여성,40대,Z04
M026524043,남성,30대,Z17
M026538330,여성,40대,Z17
M026564713,여성,40대,Z07
M026579002,여성,50대,Z13
M026605333,여성,60대,Z16
M026680290,여성,40대,Z04
M026692043,여성,20대,Z14
M026705655,여성,40대,Z12
M026719997,여성,30대,Z02
M026730981,여성,40대,Z13
M026744707,여성,40대,Z10
M026808752,여성,30대,Z10
M026840468,남성,30대,Z10
M026854845,여성,30대,Z17
M026861466,남성,20대,Z16
M026871462,여성,40대,Z10
M026904284,남성,40대,Z10
M026917955,여성,30대,Z04
M026927877,여성,60대,Z17
M026945106,여성,50대,Z17
M026968183,여성,40대,Z17
M027031630,여성,30대,Z10
M027085418,여성,30대,Z06
M027099044,여성,20대,Z04
M027174914,남성,50대,Z06
M027194386,여성,40대,Z10
M027213750,남성,40대,Z10
M027277498,남성,20대,Z04
M027304744,남성,50대,Z10
M027358427,남성,30대,Z17
M027418727,남성,70대,Z10
M027440421,여성,40대,Z17
M027441945,여성,40대,Z10
M027483918,여성,40대,Z16
M027521755,남성,40대,Z10
M027525051,여성,40대,Z10
M027605185,여성,30대,Z04
M027647723,남성,30대,Z10
M027709992,여성,40대,Z17
M027721697,여성,40대,Z13
M027727078,남성,30대,Z17
M027745985,여성,30대,Z17
M027755092,여성,40대,Z04
M027769219,여성,40대,Z16
M027782745,여성,40대,Z17
M027801481,남성,40대,Z08
M027897691,여성,30대,Z17
M028027752,여성,50대,Z16
M028027876,여성,30대,Z13
M028064953,남성,70대,Z17
M028068841,남성,60대,Z04
M028080825,남성,50대,Z17
M028110926,여성,40대,Z17
M028123213,여성,50대,Z17
M028131322,여성,40대,Z17
M028175841,여성,50대,Z10
M028178592,여성,30대,Z13
M028204215,여성,40대,Z15
M028291764,남성,20대,Z16
M028328677,남성,40대,Z03
M028358759,여성,20대,Z11
M028383773,여성,60대,Z04
M028439490,남성,40대,Z17
M028454024,여성,40대,Z10
M028494831,남성,40대,Z17
M028530868,여성,30대,Z17
M028676844,남성,40대,Z12
M028693648,여성,60대,Z16
M028793753,여성,20대,Z17
M028811945,남성,20대,Z10
M028828884,여성,20대,Z10
M028872628,여성,30대,Z17
M028875906,남성,30대,Z17
M029015400,남성,30대,Z10
M029023456,여성,30대,Z10
M029031283,여성,30대,Z10
M029045391,남성,30대,Z17
M029065985,남성,50대,Z17
M029098701,남성,50대,Z17
M029127236,여성,30대,Z01
M029169536,여성,40대,Z16
M029206865,여성,40대,Z16
M029252691,남성,30대,Z17
M029267611,여성,30대,Z10
M029271593,여성,40대,Z10
M029278038,여성,20대,Z10
M029288128,여성,40대,Z16
M029303850,여성,50대,Z10
M029304628,여성,40대,Z05
M029331815,남성,20대,Z17
M029375271,여성,40대,Z10
M029390229,남성,60대,Z16
M029434140,여성,30대,Z13
M029436227,여성,20대,Z04
M029455769,여성,40대,Z11
M029466915,남성,40대,Z14
M029472955,남성,30대,Z13
M029478403,여성,40대,Z09
M029513065,남성,40대,Z11
M029535462,여성,50대,Z17
M029553602,여성,20대,Z17
M029557380,남성,50대,Z10
M029587621,여성,50대,Z08
M029625017,여성,40대,Z17
M029668918,남성,50대,Z17
M029687828,남성,30대,Z10
M029735598,여성,40대,Z17
M029758319,남성,30대,Z13
M029877095,여성,40대,Z14
M029892884,남성,20대,Z14
M029905216,여성,40대,Z06
M029921617,남성,30대,Z04
M030035289,여성,50대,Z16
M030043636,남성,50대,Z17
M030085343,여성,20대,Z11
M030122779,남성,50대,Z17
M030146466,여성,20대,Z17
M030195680,여성,40대,Z17
M030238944,여성,50대,Z01
M030330113,여성,20대,Z12
M030367292,여성,50대,Z17
M030383189,남성,30대,Z10
M030394348,여성,20대,Z16
M030424405,남성,50대,Z10
M030462773,여성,30대,Z17
M030477840,여성,30대,Z16
M030561105,여성,30대,Z17
M030573362,여성,70대,Z16
M030608693,여성,50대,Z16
M030716505,남성,30대,Z15
M030751344,여성,40대,Z10
